promotion,title,start_date,end_date,rating,party_1,party_2,party_3,party_4
World Wrestling Entertainment,Triple Hs schmutzige Anfänge: Godwinn vs. Helmsley,09/1995 , 12/1995,6.0,Henry O. Godwinn,Hunter Hearst Helmsley,World Wrestling Federation,Summary
World Wrestling Entertainment,Ein sommerliches Gipfeltreffen: Cena vs. Batista,07/2008 , 08/2008,5.96,John Cena,Batista,World Wrestling Entertainment,Summary
World Wrestling Entertainment,Das Duell der General Manager: Team Johnny vs. Team Teddy,02/2012 , 04/2012,5.95,John Laurinaitis,David Otunga,Mark Henry,Jack Swagger
Impact Wrestling,Tag-Legenden unter sich: Team 3D vs. Steiners,05/2007 , 10/2007,5.89,Rick Steiner,Road Warrior Animal,Brother Ray,Brother Devon
World Wrestling Entertainment,Eine Hassfigur wird zum Liebling: Piper vs. Adonis,08/1986 , 03/1987,5.88,Roddy Piper,Brutus Beefcake,Adrian Adonis,Jimmy Hart
World Wrestling Entertainment,Steiner Brothers vs. Quebecers,09/1993 , 11/1993,5.88,Rick Steiner,Scott Steiner,Jacques,Pierre
World Wrestling Entertainment,Eine offene Rechnung: Orton vs. Punk,01/2011 , 05/2011,5.88,Comments,Randy Orton,CM Punk,Mason Ryan
World Championship Wrestling,Drei Extreme im Turner-Land: Hak vs. Bigelow vs. Raven,02/1999 , 05/1999,5.86,Hak,Hardcore Hak,Chastity,Bam Bam Bigelow
World Wrestling Entertainment,Ein Erdbeben erschüttert Hulkamania: Hogan vs. Earthquake,02/1990 , 02/1991,5.86,Hulk Hogan,Tugboat,The Big Boss Man,Jim Duggan
World Wrestling Entertainment,Mickie gegen die Terror-Zicken,10/2009 , 02/2010,5.84,Maria,Michelle McCool,Layla,Vickie Guerrero
World Wrestling Entertainment,Eine extreme Reifeprüfung: Dreamer vs. Swagger,09/2008 , 11/2008,5.83,Tommy Dreamer,Jack Swagger,World Wrestling Entertainment,Summary
World Wrestling Entertainment,Natural Disasters vs. Money Inc.,03/1992 , 11/1992,5.83,Earthquake,Typhoon,Ted DiBiase,Irwin R. Schyster
Lucha Underground,Freund oder Feind?: Hernandez vs. Prince Puma,01/2015 , 03/2015,5.83,Hernandez,Prince Puma,Konnan,Cage
World Wrestling Entertainment,King Bookers Krönung,04/2006 , 06/2006,5.82,Bobby Lashley,King Booker,Booker T,Queen Sharmell
Ring Of Honor,Die nächste Stable-Generation: Resilience vs. NRC,02/2007 , 11/2007,5.8,Comments,Austin Aries,Matt Cross,Erick Stevens
World Wrestling Entertainment,London & Kendrick vs. James & Stevens,08/2006 , 11/2006,5.8,Paul London,Brian Kendrick,Ashley,Idol Stevens
World Wrestling Entertainment,Klassenkampf in der WWF: Rhodes vs. DiBiase,08/1990 , 01/1991,5.75,Dusty Rhodes,Dustin Rhodes,Ted DiBiase,Virgil
World Wrestling Entertainment,Duell der Shooting Stars: Morrison vs. Ziggler,08/2009 , 11/2009,5.75,John Morrison,Dolph Ziggler,World Wrestling Entertainment,Summary
World Wrestling Entertainment,The Next Big Thing gelingt das Unmögliche: Brock Lesnar vs. The Undertaker,02/2014 , 04/2014,5.75,Comments,Brock Lesnar,Paul Heyman,The Undertaker
World Wrestling Entertainment,"Save us, Y2J: Die Wiederkehr Chris Jerichos",11/2007 , 12/2007,5.74,Comments,Chris Jericho,Randy Orton,World Wrestling Entertainment
World Wrestling Entertainment,Der doppelte Undertaker,06/1994 , 08/1994,5.74,The Undertaker,Paul Bearer,The Undertaker,Ted DiBiase
World Wrestling Entertainment,Unvollendete Ambitionen: Mysterio vs. Ziggler,07/2009 , 08/2009,5.73,Rey Mysterio,Dolph Ziggler,World Wrestling Entertainment,Summary
World Wrestling Entertainment,Ein Bulldozer als Wegsperre: Punk vs. Umaga,04/2009 , 06/2009,5.71,CM Punk,Umaga,World Wrestling Entertainment,Summary
World Wrestling Entertainment,Thron-Attacke vom keltischen Krieger: Triple H vs. Sheamus,02/2010 , 02/2011,5.7,Comments,Triple H,Sheamus,World Wrestling Entertainment
World Wrestling Entertainment,Irische Aggressionen: Rey Mysterio vs. Finlay,09/2007 , 11/2007,5.68,Rey Mysterio,Finlay,World Wrestling Entertainment,Summary
Ohio Valley Wrestling,Kalter Krieg mal anders: Alexiev vs. Kruel,01/2007 , 03/2007,5.67,Mr. Strongko,Mike Kruel,Roucka,Shawn Osbourne
World Championship Wrestling,Der Hitman begehrt auf: Bret Hart vs. Goldberg,03/1999 , 09/2000,5.67,Comments,Bret Hart,Goldberg,World Championship Wrestling
World Wrestling Entertainment,Tough enough - really? Maven vs. Tazz,10/2001 , 10/2001,5.67,Nidia,Al Snow,Tazz,World Wrestling Federation
World Wrestling Entertainment,Nicht ins Gesicht: Rick Martel vs. Shawn Michaels,07/1992 , 08/1992,5.67,Rick Martel,Shawn Michaels,Sensational Sherri,World Wrestling Federation
World Wrestling Entertainment,Ein Brutalo wird zum Angsthasen: Undertaker vs. Kamala,08/1992 , 11/1992,5.65,The Undertaker,Paul Bearer,Kamala,Harvey Wippleman
World Wrestling Entertainment,Nichts zu Lachen für Crush,01/1993 , 07/1993,5.64,Comments,Crush,Doink,Doink
World Wrestling Entertainment,Der Golfkrieg in der WWF-Version,08/1990 , 08/1991,5.64,Comments,Hulk Hogan,The Ultimate Warrior,Jim Duggan
World Wrestling Entertainment,Das Bruderband zerreißt: Hardy vs. Hardy,01/2009 , 04/2009,5.63,Comments,Jeff Hardy,Matt Hardy,World Wrestling Entertainment
Impact Wrestling,Erfolg schafft Neider: AJ Styles vs. Kid Kash,06/2004 , 09/2004,5.62,AJ Styles,Kid Kash,Dallas,Total Nonstop Action Wrestling
World Wrestling Entertainment,Ein Pirat auf Beutezug: Hart vs. LaFitte,07/1995 , 10/1995,5.62,Bret Hart,Jean-Pierre LaFitte,World Wrestling Federation,Summary
Lucha Underground,Auge um Auge: Big Ryck vs. Sexy Star vs. The Crew & Dario Cueto,10/2014 , 01/2015,5.62,Big Ryck,Sexy Star,Mascarita Sagrada,Pimpinela Escarlata
World Wrestling Entertainment,Der Urnenraub der Million Dollar Corporation,11/1994 , 08/1995,5.6,The Undertaker,Paul Bearer,Irwin R. Schyster,Ted DiBiase
World Wrestling Entertainment,Arrrh! Burchill wird zum Piraten,02/2006 , 04/2006,5.59,William Regal,World Wrestling Entertainment,Summary,Notes
World Wrestling Entertainment,Die dunkle Seite des Hawaiianers: Savage vs. Crush,09/1993 , 03/1994,5.59,Randy Savage,Crush,Mr. Fuji,World Wrestling Federation
World Wrestling Entertainment,Kaltstart zurück nach oben: Cena vs. Jericho 08,11/2008 , 02/2009,5.59,Comments,John Cena,Chris Jericho,World Wrestling Entertainment
World Wrestling Entertainment,Ritterliche Gesten und eine perfekte Verschwörung: Mero vs. Helmsley,03/1996 , 01/1997,5.57,Marc Mero,Sable,Hunter Hearst Helmsley,Mr. Perfect
CHIKARA,The Colony zieht in den Krieg,03/2007 , 09/2007,5.56,Comments,Soldier Ant,Fire Ant,Worker Ant
World Wrestling Entertainment,Der Flieger probt den Gipfelsturm: Bourne vs. Jericho,06/2010 , 07/2010,5.54,Comments,Evan Bourne,Chris Jericho,World Wrestling Entertainment
Ohio Valley Wrestling,Die Anfänge Kenny Dykstras: Doane vs. MNM,08/2004 , 11/2004,5.5,Johnny Nitro,Joey Matthews,Melina,Ohio Valley Wrestling
World Wrestling Entertainment,Drei Könige sind einer zuviel,06/2007 , 08/2007,5.5,Triple H,Jerry Lawler,King Booker,World Wrestling Entertainment
